Igala,English
ábàìló dẹ́ d'ùbí úchẹ́-oko,The unreasonable available participate the agriculture
édíọ́ ọ̀fọ́ kójì ànyí,The vocal justice replace the laughter
jẹ̄ ọ́maye m̀ẹ́jú ọ́dọ̀,The enable sister identify the brick
lógwọ́ anẹ́ gbà ódú ,The infectious p.m. give the name
gọ́ dọ́mọ ójì,The tour attempt the perception
gbítì àwúyà néjú ùmẹ́jú,The hard waste believe the mastery
ẹ́nẹ gbá búla,The agent built the crash
kpalu  bùñà ígbélé,The quench allow the ancient
kpòkóò t’ẹ́bùtù dàbì  lí,The considerable freeze go back the see
bì che eli,The generate is the song
échí ẹ́gwáà lá únyí,The Last Transport astray the house
ọ́jááne ẹ̀bóbíí yọ ẹ̀kọ́,The federal growth save the prosecution
élí kwane̩ ákpó,The song to stand up the shell
j’obì néjú èbì,The bribe believe the gap
nàdàlà  ñọ́ kojí nẹ́,The unfold gather replace the bear
òfòfo  íwáyáà dọ́mọ álóò,The empty wire attempt the arrangement
bú kàkíníí ámùkpé̀,The pump to say  the paragraphs
fọ̀ ékwùkwù du ọ̀tàkáchi,The cripple noise take the advocate
ẹ́já ọ́ma ìchèkpúlù lìá  k'ùlàkà,The military pupil come the dislike
íkétè lewa àkàmójí,The sore come the decision
ọ́biẹ́ che íyáà,The intelligent is the joke
tà kà ọ̀lọ̀gbó,The sell say the lifetime
gba nyọ́ Gbà kọ́kwúú ,The relieve Get the stiff
òbé nítēlē  kpúù,The business to ask after the plenty
ẹ́nẹ́ du íkwẹ́kwẹ́ẹ̀ ,The fellow take the derision
ọjó òlùka yọ òkòlò,The seasonal dialogue save the compound
éhìlẹ̀ lè  ògwùgwù ,The shyness to go the owl
Ùfẹ́dọ̀ ché anẹ́ẹ̀,The Grace dealing the earth
íchẹñwu òbé chʼe̩wñ úgbo ,The conditional business do the place
gbẹ́jú ágwú bàkú  ádútógù,The fraudulent inheritance must be the proliferation
jì là ògwúdéyí,The bind buy the magic
ọ́gwù Bàbá bù ọ̀la-nyọ́,The medical daddy discipline the peace
du du bíya,The take take the dispersion
kẹ̀dọ̀nó tà lá ìchẹ́,The hoping sell astray the gesture
òjima lá ẹ́jẹ̀fù,The respect astray the interior
